Player_ID,Opponent,Date,Start?,min,FGM,FGA,pct,3FG,3FGA,pct,FTM,FTA,pct,combo_shots_made,combo_shots_attempt,combo_shots_percent,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Loyola (Md.),11/10/17,Yes,35,4,12,0.33,1,4,0.25,3,5,0.6,8,21,0.38,1,6,7,7,4,1,0,3,0,12,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Saint Peter's,11/13/17,Yes,35,4,8,0.5,1,4,0.25,1,1,1,6,13,0.46,2,5,7,7,1,1,2,1,2,10,11
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Creighton,11/15/17,Yes,39,11,19,0.58,5,10,0.5,3,4,0.75,19,33,0.58,2,3,5,6,4,1,2,2,1,30,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,La Salle,11/18/17,Yes,33,4,11,0.36,0,3,0,0,0,0,4,14,0.29,4,4,8,7,2,5,1,2,0,8,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Texas Tech,11/19/17,Yes,31,1,6,0.17,1,3,0.33,1,2,0.5,3,11,0.27,0,4,4,6,4,0,4,0,0,4,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Sacred Heart,11/24/17,Yes,29,5,9,0.56,2,5,0.4,3,3,1,10,17,0.59,1,0,1,5,1,2,1,0,1,15,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Georgia Tech,11/28/17,Yes,33,5,8,0.63,1,2,0.5,1,1,1,7,11,0.64,1,4,5,5,2,2,1,0,3,12,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Illinois,12/1/17,Yes,35,6,11,0.55,2,7,0.29,2,2,1,10,20,0.5,1,6,7,6,5,1,1,0,1,16,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Purdue,12/3/17,Yes,33,4,9,0.44,3,4,0.75,1,2,0.5,8,15,0.53,3,7,10,6,3,4,1,0,1,12,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Chicago State,12/11/17,Yes,17,4,6,0.67,3,4,0.75,7,7,1,14,17,0.82,0,3,3,6,3,0,0,0,1,18,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Valparaiso,12/14/17,Yes,25,5,9,0.56,5,7,0.71,3,3,1,13,19,0.68,0,4,4,6,3,3,0,0,1,18,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,DePaul,12/16/17,Yes,13,3,5,0.6,2,2,1,1,2,0.5,6,9,0.67,1,1,2,5,3,1,4,0,0,9,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Brown,12/30/17,Yes,17,2,9,0.22,2,6,0.33,5,5,1,9,20,0.45,0,2,2,5,4,2,1,1,1,11,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Nebraska,1/2/18,Yes,37,2,11,0.18,0,4,0,4,4,1,6,19,0.32,3,5,8,5,1,3,3,1,1,8,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Penn State,1/5/18,Yes,30,3,7,0.43,1,3,0.33,1,1,1,5,11,0.45,1,5,6,5,4,5,1,0,3,8,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Minnesota,1/10/18,Yes,27,3,7,0.43,2,5,0.4,0,0,0,5,12,0.42,0,7,7,5,3,1,2,0,0,8,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Indiana,1/14/18,Yes,34,4,11,0.36,1,4,0.25,0,0,0,5,15,0.33,3,4,7,6,3,3,1,0,3,9,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Ohio State,1/17/18,Yes,32,5,14,0.36,2,8,0.25,2,2,1,9,24,0.38,1,4,5,5,2,2,2,0,1,14,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Penn State,1/20/18,Yes,35,5,12,0.42,3,7,0.43,5,7,0.71,13,26,0.5,0,5,5,5,2,2,1,0,1,18,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Minnesota,1/23/18,Yes,35,6,11,0.55,1,3,0.33,5,6,0.83,12,20,0.6,1,12,13,6,2,5,3,2,1,18,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Michigan,1/29/18,Yes,28,2,8,0.25,0,5,0,2,2,1,4,15,0.27,0,7,7,6,3,1,3,1,1,6,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Wisconsin,2/1/18,Yes,36,4,7,0.57,1,1,1,0,0,0,5,8,0.63,0,8,8,6,3,2,1,1,1,9,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Michigan,2/6/18,Yes,36,2,10,0.2,1,8,0.13,2,2,1,5,20,0.25,1,6,7,6,2,1,3,0,2,7,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Maryland,2/10/18,Yes,36,3,9,0.33,2,4,0.5,0,0,0,5,13,0.38,2,3,5,6,0,3,1,0,2,8,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Rutgers,2/13/18,Yes,42,2,7,0.29,1,3,0.33,2,4,0.5,5,14,0.36,1,4,5,6,3,1,2,0,0,7,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Michigan State,2/17/18,Yes,40,7,17,0.41,5,11,0.46,2,2,1,14,30,0.47,0,3,3,6,2,5,3,1,1,21,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Maryland,2/19/18,Yes,30,3,8,0.38,3,6,0.5,0,1,0,6,15,0.4,1,4,5,6,4,3,1,0,0,9,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,Total,NULL,NULL,853,109,261,0.42,51,133,0.38,56,68,0.82,216,462,0.47,30,126,156,6,73,60,45,15,29,325,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Loyola (Md.),11/10/17,Yes,29,6,9,0.67,0,0,0,4,10,0.4,10,19,0.53,5,2,7,7,4,0,3,3,0,16,16
2af37014-378f-4f0b-a1f4-111cd6c2d419,Saint Peter's,11/13/17,Yes,36,4,9,0.44,0,0,0,7,8,0.88,11,17,0.65,1,3,4,6,3,3,5,0,0,15,16
2af37014-378f-4f0b-a1f4-111cd6c2d419,Creighton,11/15/17,Yes,25,3,7,0.43,0,1,0,0,1,0,3,9,0.33,1,4,5,5,4,0,3,3,0,6,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,La Salle,11/18/17,Yes,24,6,9,0.67,0,0,0,2,2,1,8,11,0.73,2,5,7,6,4,0,4,2,0,14,13
2af37014-378f-4f0b-a1f4-111cd6c2d419,Texas Tech,11/19/17,Yes,23,1,1,1,0,0,0,4,5,0.8,5,6,0.83,2,0,2,5,4,0,1,0,1,6,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Sacred Heart,11/24/17,Yes,22,5,7,0.71,0,0,0,1,3,0.33,6,10,0.6,4,2,6,5,3,0,0,0,1,11,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Georgia Tech,11/28/17,Yes,31,4,6,0.67,0,0,0,2,3,0.67,6,9,0.67,4,8,12,6,3,1,1,0,0,10,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Illinois,12/1/17,Yes,43,3,6,0.5,0,0,0,0,0,0,3,6,0.5,2,2,4,6,3,2,0,4,2,6,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Purdue,12/3/17,Yes,30,9,12,0.75,0,0,0,2,3,0.67,11,15,0.73,1,7,8,6,5,4,0,1,1,20,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Chicago State,12/11/17,Yes,18,4,5,0.8,0,0,0,5,8,0.63,9,13,0.69,4,4,8,6,2,0,0,1,2,13,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Valparaiso,12/14/17,Yes,20,2,7,0.29,0,0,0,5,6,0.83,7,13,0.54,2,4,6,6,3,3,1,0,0,9,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,DePaul,12/16/17,Yes,37,4,6,0.67,0,0,0,0,0,0,4,6,0.67,3,3,6,6,2,0,4,2,0,8,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Lewis,12/19/17,Yes,21,5,7,0.71,0,0,0,2,3,0.67,7,10,0.7,0,3,3,6,2,0,1,2,1,12,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Oklahoma,12/22/17,Yes,26,8,11,0.73,0,0,0,1,4,0.25,9,15,0.6,5,4,9,6,3,1,3,0,0,17,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Brown,12/30/17,Yes,34,6,7,0.86,0,0,0,6,8,0.75,12,15,0.8,4,4,8,6,2,3,0,4,1,18,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Nebraska,1/2/18,Yes,36,6,18,0.33,0,0,0,5,8,0.63,11,26,0.42,11,4,15,7,0,3,2,3,0,17,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Penn State,1/5/18,Yes,32,3,6,0.5,0,0,0,0,0,0,3,6,0.5,2,2,4,7,5,1,1,1,1,6,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Minnesota,1/10/18,Yes,31,5,7,0.71,0,0,0,3,7,0.43,8,14,0.57,3,9,12,7,4,0,1,6,1,13,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Indiana,1/14/18,Yes,33,2,2,1,0,0,0,4,4,1,6,6,1,4,4,8,7,4,0,2,3,0,8,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Ohio State,1/17/18,Yes,37,3,4,0.75,0,0,0,1,2,0.5,4,6,0.67,2,8,10,7,2,4,0,4,0,7,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Penn State,1/20/18,Yes,33,6,9,0.67,0,0,0,0,1,0,6,10,0.6,3,1,4,7,3,3,0,1,0,12,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Minnesota,1/23/18,Yes,29,5,7,0.71,0,0,0,0,1,0,5,8,0.63,5,3,8,7,3,2,1,3,0,10,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Michigan,1/29/18,Yes,35,4,7,0.57,0,0,0,1,3,0.33,5,10,0.5,4,3,7,7,2,0,4,0,0,9,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Wisconsin,2/1/18,Yes,38,8,8,1,0,0,0,1,2,0.5,9,10,0.9,2,2,4,7,1,1,0,3,0,17,12
2af37014-378f-4f0b-a1f4-111cd6c2d419,Michigan,2/6/18,Yes,28,2,5,0.4,0,0,0,1,2,0.5,3,7,0.43,1,0,1,7,4,1,0,2,0,5,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Maryland,2/10/18,Yes,34,4,9,0.44,0,0,0,4,7,0.57,8,16,0.5,5,3,8,7,3,0,4,0,2,12,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Rutgers,2/13/18,Yes,41,6,7,0.86,0,0,0,0,0,0,6,7,0.86,6,7,13,7,1,0,1,4,0,12,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Michigan State,2/17/18,Yes,24,3,4,0.75,0,0,0,2,3,0.67,5,7,0.71,4,2,6,7,4,1,1,0,2,8,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Maryland,2/19/18,Yes,36,5,6,0.83,0,0,0,4,7,0.57,9,13,0.69,3,3,6,7,3,0,0,3,1,14,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Wisconsin,2/22/18,Yes,36,2,4,0.5,0,0,0,6,7,0.86,8,11,0.73,4,5,9,7,2,0,0,0,1,10,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Iowa,2/25/18,Yes,34,3,8,0.38,0,0,0,0,1,0,3,9,0.33,4,5,9,7,3,4,1,1,0,6,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Penn State,3/1/18,Yes,37,6,11,0.55,0,0,0,2,3,0.67,8,14,0.57,3,5,8,7,2,1,1,0,1,14,11
2af37014-378f-4f0b-a1f4-111cd6c2d419,Total,NULL,NULL,993,143,231,0.62,0,1,0,75,122,0.62,218,354,0.62,106,121,227,7,93,38,45,56,18,361,11
1e70319e-9b7d-4a9e-b8e5-512290a6b251,Sacred Heart,11/24/17,NULL,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0
1e70319e-9b7d-4a9e-b8e5-512290a6b251,Chicago State,12/11/17,NULL,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
1e70319e-9b7d-4a9e-b8e5-512290a6b251,Valparaiso,12/14/17,NULL,4,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,1,0,0,0
1e70319e-9b7d-4a9e-b8e5-512290a6b251,Lewis,12/19/17,NULL,4,0,1,0,0,1,0,1,3,0.33,1,5,0.2,0,1,1,0,0,0,0,0,0,1,0
1e70319e-9b7d-4a9e-b8e5-512290a6b251,Total,NULL,NULL,12,0,2,0,0,2,0,1,3,0.33,1,7,0.14,0,1,1,0,0,0,0,2,0,1,0
f7964398-11c7-4287-9578-2698d6240e00,Loyola (Md.),11/10/17,NULL,12,0,2,0,0,0,0,2,2,1,2,4,0.5,0,1,1,1,4,1,3,0,0,2,2
f7964398-11c7-4287-9578-2698d6240e00,Saint Peter's,11/13/17,NULL,15,2,4,0.5,1,1,1,0,0,0,3,5,0.6,0,1,1,1,2,0,3,0,0,5,4
f7964398-11c7-4287-9578-2698d6240e00,Creighton,11/15/17,NULL,22,0,3,0,0,1,0,1,2,0.5,1,6,0.17,1,3,4,2,1,4,0,0,0,1,3
f7964398-11c7-4287-9578-2698d6240e00,La Salle,11/18/17,NULL,12,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,2,1,0,0,0,0,0,2
f7964398-11c7-4287-9578-2698d6240e00,Texas Tech,11/19/17,NULL,13,0,3,0,0,1,0,2,2,1,2,6,0.33,0,1,1,1,0,1,1,0,0,2,2
f7964398-11c7-4287-9578-2698d6240e00,Sacred Heart,11/24/17,NULL,12,1,2,0.5,0,1,0,4,4,1,5,7,0.71,1,0,1,1,0,0,0,0,1,6,3
f7964398-11c7-4287-9578-2698d6240e00,Georgia Tech,11/28/17,NULL,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2
f7964398-11c7-4287-9578-2698d6240e00,Illinois,12/1/17,NULL,6,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,2,1,2,0,0,0,0,0,2
f7964398-11c7-4287-9578-2698d6240e00,Purdue,12/3/17,NULL,4,0,0,0,0,0,0,0,0,0,0,0,NULL,0,1,1,1,0,0,0,0,0,0,2
f7964398-11c7-4287-9578-2698d6240e00,Chicago State,12/11/17,NULL,25,4,5,0.8,0,0,0,3,5,0.6,7,10,0.7,1,4,5,2,1,0,0,0,2,11,3
f7964398-11c7-4287-9578-2698d6240e00,Valparaiso,12/14/17,NULL,22,2,4,0.5,0,0,0,2,2,1,4,6,0.67,0,2,2,2,2,2,1,1,2,6,3
f7964398-11c7-4287-9578-2698d6240e00,DePaul,12/16/17,NULL,24,0,2,0,0,1,0,2,2,1,2,5,0.4,1,6,7,2,5,0,2,0,0,2,3
f7964398-11c7-4287-9578-2698d6240e00,Lewis,12/19/17,NULL,24,2,7,0.29,0,3,0,4,6,0.67,6,16,0.38,4,2,6,2,1,2,1,0,0,8,3
f7964398-11c7-4287-9578-2698d6240e00,Oklahoma,12/22/17,NULL,18,2,4,0.5,0,1,0,0,0,0,2,5,0.4,1,4,5,3,1,1,1,0,0,4,3
f7964398-11c7-4287-9578-2698d6240e00,Brown,12/30/17,NULL,22,5,11,0.46,0,2,0,1,1,1,6,14,0.43,3,2,5,3,1,2,1,0,2,11,4
f7964398-11c7-4287-9578-2698d6240e00,Nebraska,1/2/18,NULL,13,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,3,1,0,0,1,0,0,4
f7964398-11c7-4287-9578-2698d6240e00,Penn State,1/5/18,NULL,13,2,4,0.5,0,1,0,1,1,1,3,6,0.5,0,0,0,3,1,0,0,0,0,5,4
f7964398-11c7-4287-9578-2698d6240e00,Minnesota,1/10/18,NULL,17,0,2,0,0,0,0,3,4,0.75,3,6,0.5,3,3,6,3,2,2,2,0,2,3,4
f7964398-11c7-4287-9578-2698d6240e00,Indiana,1/14/18,NULL,14,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,4
f7964398-11c7-4287-9578-2698d6240e00,Ohio State,1/17/18,NULL,20,3,5,0.6,2,4,0.5,2,4,0.5,7,13,0.54,0,0,0,2,1,1,0,0,3,10,4
f7964398-11c7-4287-9578-2698d6240e00,Penn State,1/20/18,NULL,26,2,4,0.5,0,0,0,2,2,1,4,6,0.67,2,1,3,2,4,2,1,1,1,6,4
f7964398-11c7-4287-9578-2698d6240e00,Minnesota,1/23/18,NULL,15,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,1,2,0,0,0,4
f7964398-11c7-4287-9578-2698d6240e00,Michigan,1/29/18,NULL,10,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2,2,2,0,0,1,0,0,0,4
f7964398-11c7-4287-9578-2698d6240e00,Wisconsin,2/1/18,NULL,8,0,1,0,0,1,0,0,0,0,0,2,0,0,3,3,2,1,0,1,0,0,0,3
f7964398-11c7-4287-9578-2698d6240e00,Michigan,2/6/18,NULL,4,0,2,0,0,2,0,0,0,0,0,4,0,0,1,1,2,0,0,0,0,0,0,3
f7964398-11c7-4287-9578-2698d6240e00,Maryland,2/10/18,NULL,17,0,1,0,0,1,0,4,4,1,4,6,0.67,1,3,4,2,2,0,3,0,0,4,3
f7964398-11c7-4287-9578-2698d6240e00,Rutgers,2/13/18,NULL,30,2,3,0.67,1,1,1,1,2,0.5,4,6,0.67,0,2,2,2,3,1,0,1,1,6,3
f7964398-11c7-4287-9578-2698d6240e00,Michigan State,2/17/18,Yes,37,4,9,0.44,0,0,0,2,2,1,6,11,0.55,3,2,5,3,3,4,0,0,0,10,4
f7964398-11c7-4287-9578-2698d6240e00,Maryland,2/19/18,Yes,38,2,5,0.4,1,3,0.33,1,2,0.5,4,10,0.4,1,3,4,3,2,5,0,0,2,6,4
f7964398-11c7-4287-9578-2698d6240e00,Wisconsin,2/22/18,Yes,31,3,3,1,0,0,0,0,0,0,3,3,1,1,3,4,3,3,1,1,0,0,6,4
f7964398-11c7-4287-9578-2698d6240e00,Iowa,2/25/18,Yes,40,4,11,0.36,1,4,0.25,0,0,0,5,15,0.33,0,2,2,3,1,6,3,0,0,9,4
f7964398-11c7-4287-9578-2698d6240e00,Penn State,3/1/18,Yes,28,2,7,0.29,2,4,0.5,0,0,0,4,11,0.36,0,1,1,3,2,1,2,0,0,6,4
f7964398-11c7-4287-9578-2698d6240e00,Total,NULL,NULL,596,42,112,0.38,8,1,0.24,37,47,0.79,87,160,0.54,24,57,81,3,52,37,29,4,17,129,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Loyola (Md.),11/10/17,NULL,14,1,2,0.5,0,0,0,2,2,1,3,4,0.75,0,1,1,1,1,1,1,0,0,4,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Saint Peter's,11/13/17,NULL,4,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,1,1,0,1,0,0,0,2
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Creighton,11/15/17,NULL,5,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1
0c25034b-847c-44f5-b0cd-6a419ddd47ce,La Salle,11/18/17,NULL,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Texas Tech,11/19/17,NULL,5,1,2,0.5,1,2,0.5,0,0,0,2,4,0.5,0,0,0,0,0,0,1,0,0,3,1
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Sacred Heart,11/24/17,NULL,7,0,1,0,0,1,0,4,4,1,4,6,0.67,0,0,0,0,0,1,1,0,2,4,2
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Georgia Tech,11/28/17,NULL,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Illinois,12/1/17,NULL,7,1,2,0.5,0,0,0,3,4,0.75,4,6,0.67,0,2,2,1,1,0,0,0,1,5,2
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Purdue,12/3/17,NULL,17,4,8,0.5,1,2,0.5,0,0,0,5,10,0.5,0,1,1,1,3,2,0,0,0,9,3
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Chicago State,12/11/17,NULL,17,1,4,0.25,0,1,0,5,6,0.83,6,11,0.55,0,1,1,1,5,3,2,0,0,7,3
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Valparaiso,12/14/17,NULL,11,1,1,1,0,0,0,2,2,1,3,3,1,0,0,0,1,2,0,0,0,0,4,3
0c25034b-847c-44f5-b0cd-6a419ddd47ce,DePaul,12/16/17,NULL,11,3,4,0.75,1,1,1,0,0,0,4,5,0.8,1,1,2,1,0,1,0,0,0,7,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Lewis,12/19/17,NULL,24,2,6,0.33,0,2,0,2,2,1,4,10,0.4,1,3,4,1,4,6,2,0,1,6,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Oklahoma,12/22/17,NULL,18,3,3,1,0,0,0,4,5,0.8,7,8,0.88,0,0,0,1,3,2,4,0,1,10,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Brown,12/30/17,NULL,17,2,5,0.4,0,0,0,0,0,0,2,5,0.4,0,4,4,1,0,3,1,0,0,4,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Nebraska,1/2/18,NULL,12,1,3,0.33,0,0,0,0,0,0,1,3,0.33,0,0,0,1,1,2,1,0,0,2,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Penn State,1/5/18,NULL,8,1,3,0.33,0,1,0,0,0,0,1,4,0.25,2,0,2,1,1,0,0,0,0,2,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Indiana,1/14/18,NULL,4,3,3,1,2,2,1,1,1,1,6,6,1,0,0,0,1,1,0,1,0,1,9,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Maryland,2/10/18,NULL,3,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Rutgers,2/13/18,NULL,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Michigan State,2/17/18,NULL,12,2,5,0.4,0,0,0,0,0,0,2,5,0.4,1,1,2,1,2,0,1,0,0,4,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Maryland,2/19/18,NULL,16,3,6,0.5,1,4,0.25,4,4,1,8,14,0.57,0,1,1,1,3,3,1,0,1,11,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Wisconsin,2/22/18,NULL,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,1,0,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Iowa,2/25/18,NULL,33,3,14,0.21,1,6,0.17,0,0,0,4,20,0.2,0,0,0,1,4,3,2,0,0,7,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Penn State,3/1/18,NULL,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,0,0,0,4
0c25034b-847c-44f5-b0cd-6a419ddd47ce,Total,NULL,NULL,270,32,81,0.4,7,26,0.27,27,32,0.87,66,139,0.47,5,17,22,1,38,30,25,0,9,98,4
8cb2f892-96bd-41d8-975b-1bec26b45893,La Salle,11/18/17,NULL,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0
8cb2f892-96bd-41d8-975b-1bec26b45893,Texas Tech,11/19/17,NULL,6,0,2,0,0,0,0,0,0,0,0,2,0,0,3,3,2,1,0,0,0,0,0,0
8cb2f892-96bd-41d8-975b-1bec26b45893,Sacred Heart,11/24/17,NULL,4,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,1,3,0,0,0,0,0,0
8cb2f892-96bd-41d8-975b-1bec26b45893,Total,NULL,NULL,11,0,2,0,0,0,0,0,0,NULL,0,2,0,0,3,3,1,5,0,0,0,0,0,0
dcc452c9-253d-4427-8f11-6fc89cfcd197,Loyola (Md.),11/10/17,Yes,35,9,20,0.45,4,11,0.36,4,8,0.5,17,39,0.44,1,8,9,9,2,0,0,1,1,26,26
dcc452c9-253d-4427-8f11-6fc89cfcd197,Saint Peter's,11/13/17,Yes,29,3,5,0.6,2,4,0.5,4,4,1,9,13,0.69,0,3,3,6,4,6,0,0,0,12,19
dcc452c9-253d-4427-8f11-6fc89cfcd197,Creighton,11/15/17,Yes,22,3,8,0.38,2,7,0.29,2,2,1,7,17,0.41,0,3,3,5,4,1,0,0,1,10,16
dcc452c9-253d-4427-8f11-6fc89cfcd197,La Salle,11/18/17,Yes,34,8,12,0.67,4,7,0.57,0,0,0,12,19,0.63,1,5,6,5,1,0,2,0,1,20,17
dcc452c9-253d-4427-8f11-6fc89cfcd197,Texas Tech,11/19/17,Yes,33,5,14,0.36,3,8,0.38,7,8,0.88,15,30,0.5,1,1,2,5,3,1,1,0,1,20,18
