date,total_player_load
1/14/16,4672.79033
1/15/16,3423.25862
1/17/16,2359.83786
1/18/16,3510.60157
1/19/16,1046.83813
1/21/16,3706.58864
1/23/16,525.77002
1/25/16,1758.07399
1/26/16,3942.00561
1/27/16,4814.11691
1/28/16,885.10767
1/29/16,2043.18973
1/30/16,2084.73563
1/31/16,1804.82965
2/2/16,3370.34969
2/4/16,1574.48511
2/7/16,5117.50046
2/8/16,3901.74213
2/9/16,2841.07369
2/12/16,3022.11743
2/13/16,934.97998
2/15/16,4236.96552
2/16/16,3536.65857
2/19/16,3716.34847
2/20/16,3729.06391
2/24/16,1783.40434
2/25/16,1950.24013
2/26/16,5228.77366
2/27/16,984.22733
2/29/16,4024.73988
3/1/16,3202.66011
3/2/16,5224.22638
3/3/16,3163.31912
3/5/16,3488.73283
3/6/16,1486.15961
3/8/16,3554.48975
3/9/16,4033.49448
5/24/16,3564.22921
5/25/16,2784.8144
5/26/16,2981.5942
6/21/16,6277.41871
6/23/16,5825.31885
6/24/16,6093.99871
6/27/16,6033.11421
6/29/16,4602.71069
6/30/16,4301.25841
7/5/16,5950.0215
7/6/16,2856.61558
7/11/16,5317.08741
7/12/16,4891.43638
7/13/16,2626.3476
7/18/16,4634.84996
7/19/16,3986.25224
7/20/16,3103.60279
7/25/16,5080.49469
7/26/16,3608.34198
7/27/16,4551.26756
7/28/16,5162.29155
7/29/16,4850.10273
8/5/16,3
8/11/16,114.83509
8/12/16,370.82504
8/15/16,113.22744
8/16/16,201.67833
8/28/16,32.79586
9/12/16,19.4791
9/15/16,4857.50914
9/16/16,4658.97866
9/17/16,5359.20852
9/19/16,3284.72644
9/20/16,4692.15569
9/22/16,5994.12712
9/24/16,4873.47761
9/26/16,4765.76136
9/28/16,5298.93485
9/30/16,9477.18441
10/1/16,7371.48825
10/3/16,7096.69953
10/4/16,6429.37353
10/6/16,5571.08711
10/7/16,4933.76869
10/8/16,527.62018
10/10/16,7353.43716
10/11/16,7646.01392
10/12/16,7236.16434
10/14/16,8773.88793
10/15/16,7684.16605
10/17/16,6323.07709
10/18/16,7891.57146
10/20/16,7578.15115
10/21/16,6096.45264
10/22/16,7841.33946
10/24/16,7696.79747
10/25/16,7048.45958
10/27/16,7270.48671
10/28/16,5883.53898
10/29/16,9169.79953
10/31/16,6723.76833
11/1/16,6765.33472
11/2/16,7065.61148
11/3/16,6040.05141
11/4/16,6452.87441
11/7/16,7254.12407
11/8/16,7364.13369
11/9/16,7561.12726
11/10/16,5684.32625
11/11/16,7625.06692
11/12/16,2932.42633
11/13/16,5987.535
11/14/16,6035.50806
11/15/16,3900.20703
11/16/16,8744.3815
11/19/16,6323.31273
11/20/16,6312.07993
11/21/16,8659.82402
11/22/16,6634.36435
11/24/16,5468.5107
11/25/16,5697.33387
11/27/16,6901.5761
11/28/16,6157.94601
11/30/16,5042.02306
12/1/16,5434.13927
12/2/16,5308.04074
12/3/16,6933.56059
12/6/16,5538.82473
12/7/16,4586.85241
12/9/16,6558.30052
12/10/16,5528.38527
12/11/16,6786.17031
12/13/16,5558.14677
12/14/16,6910.53236
12/15/16,4322.75549
12/16/16,4680.02429
12/17/16,9749.89591
12/19/16,5346.78741
12/20/16,6310.28384
12/21/16,4174.54858
12/22/16,7482.31048
12/25/16,6843.70323
12/26/16,6814.90798
12/27/16,6926.8765
12/28/16,3509.61358
12/29/16,4948.44531
12/30/16,9192.11508
1/1/17,4777.47404
1/2/17,7518.16318
1/3/17,6753.78756
1/4/17,6452.48192
1/5/17,6271.228
1/7/17,7058.41485
1/8/17,6890.2486
1/10/17,5017.22977
1/11/17,5113.04196
1/12/17,10416.19101
1/13/17,1328.24855
1/14/17,5443.40446
1/15/17,7691.99773
1/17/17,6048.60124
1/18/17,6595.73953
1/20/17,6307.68668
1/21/17,5996.43097
1/22/17,7418.26953
1/24/17,6189.1529
1/25/17,7273.24127
1/26/17,7447.78421
1/27/17,1157.60684
1/28/17,5902.85099
1/29/17,6062.36773
1/30/17,1712.59952
1/31/17,4895.92948
2/1/17,7816.9693
2/3/17,4439.84416
2/4/17,5745.26532
2/5/17,4898.36317
2/6/17,5924.93394
2/7/17,6237.79531
2/8/17,2628.57274
2/10/17,5419.62949
2/11/17,5758.33022
2/12/17,6582.76415
2/13/17,2060.10663
2/14/17,6247.80999
2/15/17,6866.83345
2/16/17,2905.83831
2/17/17,6311.88183
2/18/17,7100.97776
2/19/17,3025.55147
2/20/17,6088.29011
2/21/17,8751.62601
2/23/17,7471.55356
2/24/17,6499.18831
2/25/17,9767.23405
2/27/17,7203.86633
2/28/17,6543.54585
3/1/17,7090.97955
3/3/17,6101.05446
3/4/17,5635.51613
3/5/17,5717.83501
3/7/17,3937.62415
3/8/17,6338.92595
3/9/17,7164.08901
3/10/17,5734.27427
3/11/17,5085.09128
3/13/17,4349.60459
3/14/17,5080.02964
3/15/17,3646.81045
3/16/17,5852.5591
3/17/17,3970.0044
3/18/17,7110.29858
4/17/17,2941.14679
4/18/17,3300.29998
4/20/17,2897.42319
4/24/17,2701.03104
4/25/17,2487.67212
4/27/17,2792.82968
5/1/17,2498.16449
5/2/17,2371.69356
5/3/17,400.56213
5/4/17,1517.68753
5/8/17,3653.812
5/9/17,3044.17599
5/11/17,1834.91797
5/15/17,1316.26584
5/16/17,2841.44824
5/18/17,3682.07537
5/22/17,2883.54422
5/23/17,2811.27028
5/25/17,2771.67674
6/20/17,6480.05811
6/22/17,4506.0537
6/26/17,4628.52503
6/27/17,6411.13178
6/29/17,5155.94218
6/30/17,3888.94632
7/6/17,6016.95623
7/11/17,3580.53835
7/17/17,7064.46794
7/18/17,6064.26589
7/24/17,5585.02036
7/25/17,6036.52725
9/15/17,5608.74735
9/19/17,4391.19896
9/20/17,4117.42552
9/25/17,4081.36143
9/26/17,4495.7172
9/27/17,4875.50243
9/29/17,6347.57664
9/30/17,8350.86901
10/2/17,8505.02317
10/3/17,8189.14714
10/5/17,5403.7724
10/6/17,6246.98439
10/9/17,7962.42126
10/10/17,7106.01704
10/12/17,7777.50079
10/13/17,5317.06961
10/16/17,5102.91447
10/17/17,7378.09355
10/18/17,5216.58168
10/21/17,5619.72558
10/23/17,7037.92718
10/24/17,6267.92175
10/25/17,6785.60189
10/26/17,4518.60067
10/27/17,4712.78436
10/28/17,4212.64462
10/30/17,5710.44258
10/31/17,6563.28502
11/1/17,7867.12439
11/2/17,1875.93032
11/3/17,3442.03364
11/4/17,7004.62673
11/7/17,8169.00968
11/8/17,6990.01578
11/9/17,4933.10833
11/10/17,6381.21244
11/11/17,4117.75466
11/12/17,6377.83171
11/13/17,6337.24344
11/14/17,1044.08325
11/15/17,6772.68956
11/16/17,2541.20171
11/17/17,5340.38308
11/18/17,5262.82123
11/19/17,5548.87915
11/21/17,10151.2192
11/22/17,9887.65665
11/23/17,6667.3059
11/24/17,9424.83872
11/26/17,7759.70276
11/27/17,7779.23431
11/28/17,9498.73157
11/29/17,3789.54908
11/30/17,6825.36829
12/1/17,8314.45389
12/2/17,1809.91855
12/3/17,7026.86918
12/6/17,5275.81059
12/8/17,5400.85225
12/9/17,4243.7944
12/10/17,4733.65302
12/11/17,9372.73022
12/12/17,6351.54632
12/13/17,3958.83159
12/14/17,8985.8386
12/16/17,8912.99689
12/18/17,5210.90798
12/19/17,6077.17219
12/20/17,7192.34848
12/21/17,5764.81336
12/22/17,4923.4174
12/26/17,8977.71838
12/27/17,8281.72492
12/28/17,8923.11754
12/29/17,6579.07806
12/30/17,6178.16478
12/31/17,2528.36966
1/1/18,7050.52407
1/2/18,6831.55967
1/5/18,8996.01371
1/7/18,5345.35371
1/8/18,6131.827
1/10/18,7094.93431
1/12/18,8235.54116
1/13/18,8101.99782
1/16/18,8181.04521
1/17/18,6563.50736
1/18/18,1686.59793
1/19/18,4328.67484
1/20/18,6496.71161
1/22/18,6977.71847
1/23/18,8819.31659
1/26/18,6853.20457
1/27/18,5877.15133
1/28/18,4409.86569
1/29/18,4742.74205
1/30/18,2162.07638
1/31/18,4038.68924
2/1/18,10071.93734
2/3/18,6217.06596
2/4/18,7477.75194
2/5/18,6087.03345
2/6/18,5837.65721
2/8/18,8783.48023
2/9/18,2284.99243
2/10/18,6069.78621
2/11/18,482.92163
2/12/18,3566.54732
2/13/18,10605.29745
2/15/18,4477.06765
2/16/18,4482.80424
2/17/18,6075.1203
2/19/18,5158.78662
2/20/18,52.17839
2/21/18,1348.19575
2/22/18,6058.77983
2/24/18,3115.48221
2/25/18,5917.94872
2/27/18,3577.5876
2/28/18,4188.05991
3/1/18,6479.61536