Player,Opponent,Date,Start?,min,fgm/a,pct,3fg/a,pct,ftm/a,pct,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg,,,,,,,,,,
Vic Law,Loyola (Md.),11/10/2017,Yes,35,4-12,0.33,1-4,0.25,3-5,0.60,1,6,7,7,4,1,0,3,0,12,12,,,,,,,,,,
Vic Law,Saint Peter's,11/13/2017,Yes,35,4-8,0.50,1-4,0.25,1-1,1.00,2,5,7,7,1,1,2,1,2,10,11,,,,,,,,,,
Vic Law,Creighton,11/15/2017,Yes,39,11-19,0.58,5-10,0.50,3-4,0.75,2,3,5,6,4,1,2,2,1,30,17,,,,,,,,,,
Vic Law,La Salle,11/18/2017,Yes,33,4-11,0.36,0-3,0.00,0-0,0.00,4,4,8,7,2,5,1,2,0,8,15,,,,,,,,,,
Vic Law,Texas Tech,11/19/2017,Yes,31,1-6,0.17,1-3,0.33,1-2,0.50,0,4,4,6,4,0,4,0,0,4,13,,,,,,,,,,
Vic Law,Sacred Heart,11/24/2017,Yes,29,5-9,0.56,2-5,0.40,3-3,1.00,1,0,1,5,1,2,1,0,1,15,13,,,,,,,,,,
Vic Law,Georgia Tech,11/28/2017,Yes,33,5-8,0.63,1-2,0.50,1-1,1.00,1,4,5,5,2,2,1,0,3,12,13,,,,,,,,,,
Vic Law,Illinois,12/1/2017,Yes,35,6-11,0.55,2-7,0.29,2-2,1.00,1,6,7,6,5,1,1,0,1,16,13,,,,,,,,,,
Vic Law,Purdue,12/3/2017,Yes,33,4-9,0.44,3-4,0.75,1-2,0.50,3,7,10,6,3,4,1,0,1,12,13,,,,,,,,,,
Vic Law,Chicago State,12/11/2017,Yes,17,4-6,0.67,3-4,0.75,7-7,1.00,0,3,3,6,3,0,0,0,1,18,14,,,,,,,,,,
Vic Law,Valparaiso,12/14/2017,Yes,25,5-9,0.56,5-7,0.71,3-3,1.00,0,4,4,6,3,3,0,0,1,18,14,,,,,,,,,,
Vic Law,DePaul,12/16/2017,Yes,13,3-5,0.60,2-2,1.00,1-2,0.50,1,1,2,5,3,1,4,0,0,9,14,,,,,,,,,,
Vic Law,Brown,12/30/2017,Yes,17,2-9,0.22,2-6,0.33,5-5,1.00,0,2,2,5,4,2,1,1,1,11,14,,,,,,,,,,
Vic Law,Nebraska,1/2/2018,Yes,37,2-11,0.18,0-4,0.00,4-4,1.00,3,5,8,5,1,3,3,1,1,8,13,,,,,,,,,,
Vic Law,Penn State,1/5/2018,Yes,30,3-7,0.43,1-3,0.33,1-1,1.00,1,5,6,5,4,5,1,0,3,8,13,,,,,,,,,,
Vic Law,Minnesota,1/10/2018,Yes,27,3-7,0.43,2-5,0.40,0-0,0.00,0,7,7,5,3,1,2,0,0,8,12,,,,,,,,,,
Vic Law,Indiana,1/14/2018,Yes,34,4-11,0.36,1-4,0.25,0-0,0.00,3,4,7,6,3,3,1,0,3,9,12,,,,,,,,,,
Vic Law,Ohio State,1/17/2018,Yes,32,5-14,0.36,2-8,0.25,2-2,1.00,1,4,5,5,2,2,2,0,1,14,12,,,,,,,,,,
Vic Law,Penn State,1/20/2018,Yes,35,5-12,0.42,3-7,0.43,5-7,0.71,0,5,5,5,2,2,1,0,1,18,13,,,,,,,,,,
Vic Law,Minnesota,1/23/2018,Yes,35,6-11,0.55,1-3,0.33,5-6,0.83,1,12,13,6,2,5,3,2,1,18,13,,,,,,,,,,
Vic Law,Michigan,1/29/2018,Yes,28,2-8,0.25,0-5,0.00,2-2,1.00,0,7,7,6,3,1,3,1,1,6,13,,,,,,,,,,
Vic Law,Wisconsin,2/1/2018,Yes,36,4-7,0.57,1-1,1.00,0-0,0.00,0,8,8,6,3,2,1,1,1,9,12,,,,,,,,,,
Vic Law,Michigan,2/6/2018,Yes,36,2-10,0.20,1-8,0.13,2-2,1.00,1,6,7,6,2,1,3,0,2,7,12,,,,,,,,,,
Vic Law,Maryland,2/10/2018,Yes,36,3-9,0.33,2-4,0.50,0-0,0.00,2,3,5,6,0,3,1,0,2,8,12,,,,,,,,,,
Vic Law,Rutgers,2/13/2018,Yes,42,2-7,0.29,1-3,0.33,2-4,0.50,1,4,5,6,3,1,2,0,0,7,12,,,,,,,,,,
Vic Law,Michigan State,2/17/2018,Yes,40,7-17,0.41,5-11,0.46,2-2,1.00,0,3,3,6,2,5,3,1,1,21,12,,,,,,,,,,
Vic Law,Maryland,2/19/2018,Yes,30,3-8,0.38,3-6,0.50,0-1,0.00,1,4,5,6,4,3,1,0,0,9,12,,,,,,,,,,
Vic Law,Total,NULL,NULL,853,109-261,0.42,51-133,0.38,56-68,0.82,30,126,156,6,73,60,45,15,29,325,12,,,,,,,,,,
Dererk Pardon,Loyola (Md.),11/10/2017,Yes,29,6-9,0.67,0-0,0.00,4-10,0.40,5,2,7,7,4,0,3,3,0,16,16,,,,,,,,,,
Dererk Pardon,Saint Peter's,11/13/2017,Yes,36,4-9,0.44,0-0,0.00,7-8,0.88,1,3,4,6,3,3,5,0,0,15,16,,,,,,,,,,
Dererk Pardon,Creighton,11/15/2017,Yes,25,3-7,0.43,0-1,0.00,0-1,0.00,1,4,5,5,4,0,3,3,0,6,12,,,,,,,,,,
Dererk Pardon,La Salle,11/18/2017,Yes,24,6-9,0.67,0-0,0.00,2-2,1.00,2,5,7,6,4,0,4,2,0,14,13,,,,,,,,,,
Dererk Pardon,Texas Tech,11/19/2017,Yes,23,1-1,1.00,0-0,0.00,4-5,0.80,2,0,2,5,4,0,1,0,1,6,11,,,,,,,,,,
Dererk Pardon,Sacred Heart,11/24/2017,Yes,22,5-7,0.71,0-0,0.00,1-3,0.33,4,2,6,5,3,0,0,0,1,11,11,,,,,,,,,,
Dererk Pardon,Georgia Tech,11/28/2017,Yes,31,4-6,0.67,0-0,0.00,2-3,0.67,4,8,12,6,3,1,1,0,0,10,11,,,,,,,,,,
Dererk Pardon,Illinois,12/1/2017,Yes,43,3-6,0.50,0-0,0.00,0-0,0.00,2,2,4,6,3,2,0,4,2,6,11,,,,,,,,,,
Dererk Pardon,Purdue,12/3/2017,Yes,30,9-12,0.75,0-0,0.00,2-3,0.67,1,7,8,6,5,4,0,1,1,20,12,,,,,,,,,,
Dererk Pardon,Chicago State,12/11/2017,Yes,18,4-5,0.80,0-0,0.00,5-8,0.63,4,4,8,6,2,0,0,1,2,13,12,,,,,,,,,,
Dererk Pardon,Valparaiso,12/14/2017,Yes,20,2-7,0.29,0-0,0.00,5-6,0.83,2,4,6,6,3,3,1,0,0,9,12,,,,,,,,,,
Dererk Pardon,DePaul,12/16/2017,Yes,37,4-6,0.67,0-0,0.00,0-0,0.00,3,3,6,6,2,0,4,2,0,8,11,,,,,,,,,,
Dererk Pardon,Lewis,12/19/2017,Yes,21,5-7,0.71,0-0,0.00,2-3,0.67,0,3,3,6,2,0,1,2,1,12,11,,,,,,,,,,
Dererk Pardon,Oklahoma,12/22/2017,Yes,26,8-11,0.73,0-0,0.00,1-4,0.25,5,4,9,6,3,1,3,0,0,17,12,,,,,,,,,,
Dererk Pardon,Brown,12/30/2017,Yes,34,6-7,0.86,0-0,0.00,6-8,0.75,4,4,8,6,2,3,0,4,1,18,12,,,,,,,,,,
Dererk Pardon,Nebraska,1/2/2018,Yes,36,6-18,0.33,0-0,0.00,5-8,0.63,11,4,15,7,0,3,2,3,0,17,12,,,,,,,,,,
Dererk Pardon,Penn State,1/5/2018,Yes,32,3-6,0.50,0-0,0.00,0-0,0.00,2,2,4,7,5,1,1,1,1,6,12,,,,,,,,,,
Dererk Pardon,Minnesota,1/10/2018,Yes,31,5-7,0.71,0-0,0.00,3-7,0.43,3,9,12,7,4,0,1,6,1,13,12,,,,,,,,,,
Dererk Pardon,Indiana,1/14/2018,Yes,33,2-2,1.00,0-0,0.00,4-4,1.00,4,4,8,7,4,0,2,3,0,8,12,,,,,,,,,,
Dererk Pardon,Ohio State,1/17/2018,Yes,37,3-4,0.75,0-0,0.00,1-2,0.50,2,8,10,7,2,4,0,4,0,7,12,,,,,,,,,,
Dererk Pardon,Penn State,1/20/2018,Yes,33,6-9,0.67,0-0,0.00,0-1,0.00,3,1,4,7,3,3,0,1,0,12,12,,,,,,,,,,
Dererk Pardon,Minnesota,1/23/2018,Yes,29,5-7,0.71,0-0,0.00,0-1,0.00,5,3,8,7,3,2,1,3,0,10,12,,,,,,,,,,
Dererk Pardon,Michigan,1/29/2018,Yes,35,4-7,0.57,0-0,0.00,1-3,0.33,4,3,7,7,2,0,4,0,0,9,11,,,,,,,,,,
Dererk Pardon,Wisconsin,2/1/2018,Yes,38,8-8,1.00,0-0,0.00,1-2,0.50,2,2,4,7,1,1,0,3,0,17,12,,,,,,,,,,
Dererk Pardon,Michigan,2/6/2018,Yes,28,2-5,0.40,0-0,0.00,1-2,0.50,1,0,1,7,4,1,0,2,0,5,11,,,,,,,,,,
Dererk Pardon,Maryland,2/10/2018,Yes,34,4-9,0.44,0-0,0.00,4-7,0.57,5,3,8,7,3,0,4,0,2,12,11,,,,,,,,,,
Dererk Pardon,Rutgers,2/13/2018,Yes,41,6-7,0.86,0-0,0.00,0-0,0.00,6,7,13,7,1,0,1,4,0,12,11,,,,,,,,,,
Dererk Pardon,Michigan State,2/17/2018,Yes,24,3-4,0.75,0-0,0.00,2-3,0.67,4,2,6,7,4,1,1,0,2,8,11,,,,,,,,,,
Dererk Pardon,Maryland,2/19/2018,Yes,36,5-6,0.83,0-0,0.00,4-7,0.57,3,3,6,7,3,0,0,3,1,14,11,,,,,,,,,,
Dererk Pardon,Wisconsin,2/22/2018,Yes,36,2-4,0.50,0-0,0.00,6-7,0.86,4,5,9,7,2,0,0,0,1,10,11,,,,,,,,,,
Dererk Pardon,Iowa,2/25/2018,Yes,34,3-8,0.38,0-0,0.00,0-1,0.00,4,5,9,7,3,4,1,1,0,6,11,,,,,,,,,,
Dererk Pardon,Penn State,3/1/2018,Yes,37,6-11,0.55,0-0,0.00,2-3,0.67,3,5,8,7,2,1,1,0,1,14,11,,,,,,,,,,
Dererk Pardon,Total,NULL,NULL,993,143-231,0.62,0-1,0.00,75-122,0.62,106,121,227,7,93,38,45,56,18,361,11,,,,,,,,,,
Charlie Hall,Sacred Heart,11/24/2017,NULL,1,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Charlie Hall,Chicago State,12/11/2017,NULL,3,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
Charlie Hall,Valparaiso,12/14/2017,NULL,4,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
Charlie Hall,Lewis,12/19/2017,NULL,4,0-1,0.00,0-1,0.00,1-3,0.33,0,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,
Charlie Hall,Total,NULL,NULL,12,0-2,0.00,0-2,0.00,1-3,0.33,0,1,1,0,0,0,0,2,0,1,0,,,,,,,,,,
Anthony Gaines,Loyola (Md.),11/10/2017,NULL,12,0-2,0.00,0-0,0.00,2-2,1.00,0,1,1,1,4,1,3,0,0,2,2,,,,,,,,,,
Anthony Gaines,Saint Peter's,11/13/2017,NULL,15,2-4,0.50,1-1,1.00,0-0,0.00,0,1,1,1,2,0,3,0,0,5,4,,,,,,,,,,
Anthony Gaines,Creighton,11/15/2017,NULL,22,0-3,0.00,0-1,0.00,1-2,0.50,1,3,4,2,1,4,0,0,0,1,3,,,,,,,,,,
Anthony Gaines,La Salle,11/18/2017,NULL,12,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,2,1,0,0,0,0,0,2,,,,,,,,,,
Anthony Gaines,Texas Tech,11/19/2017,NULL,13,0-3,0.00,0-1,0.00,2-2,1.00,0,1,1,1,0,1,1,0,0,2,2,,,,,,,,,,
Anthony Gaines,Sacred Heart,11/24/2017,NULL,12,1-2,0.50,0-1,0.00,4-4,1.00,1,0,1,1,0,0,0,0,1,6,3,,,,,,,,,,
Anthony Gaines,Georgia Tech,11/28/2017,NULL,4,0-2,0.00,0-0,0.00,0-0,0.00,0,0,0,1,0,0,0,0,1,0,2,,,,,,,,,,
Anthony Gaines,Illinois,12/1/2017,NULL,6,0-0,0.00,0-0,0.00,0-0,0.00,1,1,2,1,2,0,0,0,0,0,2,,,,,,,,,,
Anthony Gaines,Purdue,12/3/2017,NULL,4,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,1,0,0,0,0,0,0,2,,,,,,,,,,
Anthony Gaines,Chicago State,12/11/2017,NULL,25,4-5,0.80,0-0,0.00,3-5,0.60,1,4,5,2,1,0,0,0,2,11,3,,,,,,,,,,
Anthony Gaines,Valparaiso,12/14/2017,NULL,22,2-4,0.50,0-0,0.00,2-2,1.00,0,2,2,2,2,2,1,1,2,6,3,,,,,,,,,,
Anthony Gaines,DePaul,12/16/2017,NULL,24,0-2,0.00,0-1,0.00,2-2,1.00,1,6,7,2,5,0,2,0,0,2,3,,,,,,,,,,
Anthony Gaines,Lewis,12/19/2017,NULL,24,2-7,0.29,0-3,0.00,4-6,0.67,4,2,6,2,1,2,1,0,0,8,3,,,,,,,,,,
Anthony Gaines,Oklahoma,12/22/2017,NULL,18,2-4,0.50,0-1,0.00,0-0,0.00,1,4,5,3,1,1,1,0,0,4,3,,,,,,,,,,
Anthony Gaines,Brown,12/30/2017,NULL,22,5-11,0.46,0-2,0.00,1-1,1.00,3,2,5,3,1,2,1,0,2,11,4,,,,,,,,,,
Anthony Gaines,Nebraska,1/2/2018,NULL,13,0-1,0.00,0-1,0.00,0-0,0.00,0,1,1,3,1,0,0,1,0,0,4,,,,,,,,,,
Anthony Gaines,Penn State,1/5/2018,NULL,13,2-4,0.50,0-1,0.00,1-1,1.00,0,0,0,3,1,0,0,0,0,5,4,,,,,,,,,,
Anthony Gaines,Minnesota,1/10/2018,NULL,17,0-2,0.00,0-0,0.00,3-4,0.75,3,3,6,3,2,2,2,0,2,3,4,,,,,,,,,,
Anthony Gaines,Indiana,1/14/2018,NULL,14,0-3,0.00,0-0,0.00,0-0,0.00,0,0,0,3,3,0,0,0,0,0,4,,,,,,,,,,
Anthony Gaines,Ohio State,1/17/2018,NULL,20,3-5,0.60,2-4,0.50,2-4,0.50,0,0,0,2,1,1,0,0,3,10,4,,,,,,,,,,
Anthony Gaines,Penn State,1/20/2018,NULL,26,2-4,0.50,0-0,0.00,2-2,1.00,2,1,3,2,4,2,1,1,1,6,4,,,,,,,,,,
Anthony Gaines,Minnesota,1/23/2018,NULL,15,0-2,0.00,0-0,0.00,0-0,0.00,0,2,2,2,2,1,2,0,0,0,4,,,,,,,,,,
Anthony Gaines,Michigan,1/29/2018,NULL,10,0-0,0.00,0-0,0.00,0-0,0.00,0,2,2,2,0,0,1,0,0,0,4,,,,,,,,,,
Anthony Gaines,Wisconsin,2/1/2018,NULL,8,0-1,0.00,0-1,0.00,0-0,0.00,0,3,3,2,1,0,1,0,0,0,3,,,,,,,,,,
Anthony Gaines,Michigan,2/6/2018,NULL,4,0-2,0.00,0-2,0.00,0-0,0.00,0,1,1,2,0,0,0,0,0,0,3,,,,,,,,,,
Anthony Gaines,Maryland,2/10/2018,NULL,17,0-1,0.00,0-1,0.00,4-4,1.00,1,3,4,2,2,0,3,0,0,4,3,,,,,,,,,,
Anthony Gaines,Rutgers,2/13/2018,NULL,30,2-3,0.67,1-1,1.00,1-2,0.50,0,2,2,2,3,1,0,1,1,6,3,,,,,,,,,,
Anthony Gaines,Michigan State,2/17/2018,Yes,37,4-9,0.44,0-0,0.00,2-2,1.00,3,2,5,3,3,4,0,0,0,10,4,,,,,,,,,,
Anthony Gaines,Maryland,2/19/2018,Yes,38,2-5,0.40,1-3,0.33,1-2,0.50,1,3,4,3,2,5,0,0,2,6,4,,,,,,,,,,
Anthony Gaines,Wisconsin,2/22/2018,Yes,31,3-3,1.00,0-0,0.00,0-0,0.00,1,3,4,3,3,1,1,0,0,6,4,,,,,,,,,,
Anthony Gaines,Iowa,2/25/2018,Yes,40,4-11,0.36,1-4,0.25,0-0,0.00,0,2,2,3,1,6,3,0,0,9,4,,,,,,,,,,
Anthony Gaines,Penn State,3/1/2018,Yes,28,2-7,0.29,2-4,0.50,0-0,0.00,0,1,1,3,2,1,2,0,0,6,4,,,,,,,,,,
Anthony Gaines,Total,NULL,NULL,596,42-112,0.38,8-1,0.24,37-47,0.79,24,57,81,3,52,37,29,4,17,129,4,,,,,,,,,,
Isiah Brown,Loyola (Md.),11/10/2017,NULL,14,1-2,0.50,0-0,0.00,2-2,1.00,0,1,1,1,1,1,1,0,0,4,4,,,,,,,,,,
Isiah Brown,Saint Peter's,11/13/2017,NULL,4,0-1,0.00,0-1,0.00,0-0,0.00,0,1,1,1,1,0,1,0,0,0,2,,,,,,,,,,
Isiah Brown,Creighton,11/15/2017,NULL,5,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,1,2,0,0,0,0,0,1,,,,,,,,,,
Isiah Brown,La Salle,11/18/2017,NULL,3,0-2,0.00,0-0,0.00,0-0,0.00,0,0,0,1,0,0,2,0,0,0,1,,,,,,,,,,
Isiah Brown,Texas Tech,11/19/2017,NULL,5,1-2,0.50,1-2,0.50,0-0,0.00,0,0,0,0,0,0,1,0,0,3,1,,,,,,,,,,
Isiah Brown,Sacred Heart,11/24/2017,NULL,7,0-1,0.00,0-1,0.00,4-4,1.00,0,0,0,0,0,1,1,0,2,4,2,,,,,,,,,,
Isiah Brown,Georgia Tech,11/28/2017,NULL,3,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,
Isiah Brown,Illinois,12/1/2017,NULL,7,1-2,0.50,0-0,0.00,3-4,0.75,0,2,2,1,1,0,0,0,1,5,2,,,,,,,,,,
