Player,Opponent,Date,Start?,min,fgm/a,pct,3fg/a,pct,ftm/a,pct,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg,,,,,,,,,,
Isiah Brown,Purdue,12/3/2017,NULL,17,4-8,0.50,1-2,0.50,0-0,0.00,0,1,1,1,3,2,0,0,0,9,3,,,,,,,,,,
Isiah Brown,Chicago State,12/11/2017,NULL,17,1-4,0.25,0-1,0.00,5-6,0.83,0,1,1,1,5,3,2,0,0,7,3,,,,,,,,,,
Isiah Brown,Valparaiso,12/14/2017,NULL,11,1-1,1.00,0-0,0.00,2-2,1.00,0,0,0,1,2,0,0,0,0,4,3,,,,,,,,,,
Isiah Brown,DePaul,12/16/2017,NULL,11,3-4,0.75,1-1,1.00,0-0,0.00,1,1,2,1,0,1,0,0,0,7,4,,,,,,,,,,
Isiah Brown,Lewis,12/19/2017,NULL,24,2-6,0.33,0-2,0.00,2-2,1.00,1,3,4,1,4,6,2,0,1,6,4,,,,,,,,,,
Isiah Brown,Oklahoma,12/22/2017,NULL,18,3-3,1.00,0-0,0.00,4-5,0.80,0,0,0,1,3,2,4,0,1,10,4,,,,,,,,,,
Isiah Brown,Brown,12/30/2017,NULL,17,2-5,0.40,0-0,0.00,0-0,0.00,0,4,4,1,0,3,1,0,0,4,4,,,,,,,,,,
Isiah Brown,Nebraska,1/2/2018,NULL,12,1-3,0.33,0-0,0.00,0-0,0.00,0,0,0,1,1,2,1,0,0,2,4,,,,,,,,,,
Isiah Brown,Penn State,1/5/2018,NULL,8,1-3,0.33,0-1,0.00,0-0,0.00,2,0,2,1,1,0,0,0,0,2,4,,,,,,,,,,
Isiah Brown,Indiana,1/14/2018,NULL,4,3-3,1.00,2-2,1.00,1-1,1.00,0,0,0,1,1,0,1,0,1,9,4,,,,,,,,,,
Isiah Brown,Maryland,2/10/2018,NULL,3,0-2,0.00,0-1,0.00,0-0,0.00,0,0,0,1,1,0,0,0,0,0,4,,,,,,,,,,
Isiah Brown,Rutgers,2/13/2018,NULL,9,0-1,0.00,0-0,0.00,0-0,0.00,0,0,0,1,1,0,2,0,1,0,4,,,,,,,,,,
Isiah Brown,Michigan State,2/17/2018,NULL,12,2-5,0.40,0-0,0.00,0-0,0.00,1,1,2,1,2,0,1,0,0,4,4,,,,,,,,,,
Isiah Brown,Maryland,2/19/2018,NULL,16,3-6,0.50,1-4,0.25,4-4,1.00,0,1,1,1,3,3,1,0,1,11,4,,,,,,,,,,
Isiah Brown,Wisconsin,2/22/2018,NULL,8,0-1,0.00,0-0,0.00,0-0,0.00,0,1,1,1,1,2,0,0,1,0,4,,,,,,,,,,
Isiah Brown,Iowa,2/25/2018,NULL,33,3-14,0.21,1-6,0.17,0-0,0.00,0,0,0,1,4,3,2,0,0,7,4,,,,,,,,,,
Isiah Brown,Penn State,3/1/2018,NULL,2,0-0,0.00,0-0,0.00,0-1,0.00,0,0,0,1,1,1,2,0,0,0,4,,,,,,,,,,
Isiah Brown,Total,NULL,NULL,270,32-81,0.40,7-26,0.27,27-31,0.87,5,17,22,1,38,30,25,0,9,98,4,,,,,,,,,,
Rapolas Ivanauskas,La Salle,11/18/2017,NULL,1,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,
Rapolas Ivanauskas,Texas Tech,11/19/2017,NULL,6,0-2,0.00,0-0,0.00,0-0,0.00,0,3,3,2,1,0,0,0,0,0,0,,,,,,,,,,
Rapolas Ivanauskas,Sacred Heart,11/24/2017,NULL,4,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,1,3,0,0,0,0,0,0,,,,,,,,,,
Rapolas Ivanauskas,Total,NULL,NULL,11,0-2,0.00,0-0,0.00,0-0,0.00,0,3,3,1,5,0,0,0,0,0,0,,,,,,,,,,
Scottie Lindsey,Loyola (Md.),11/10/2017,Yes,35,9-20,0.45,4-11,0.36,4-8,0.50,1,8,9,9,2,0,0,1,1,26,26,,,,,,,,,,
Scottie Lindsey,Saint Peter's,11/13/2017,Yes,29,3-5,0.60,2-4,0.50,4-4,1.00,0,3,3,6,4,6,0,0,0,12,19,,,,,,,,,,
Scottie Lindsey,Creighton,11/15/2017,Yes,22,3-8,0.38,2-7,0.29,2-2,1.00,0,3,3,5,4,1,0,0,1,10,16,,,,,,,,,,
Scottie Lindsey,La Salle,11/18/2017,Yes,34,8-12,0.67,4-7,0.57,0-0,0.00,1,5,6,5,1,0,2,0,1,20,17,,,,,,,,,,
Scottie Lindsey,Texas Tech,11/19/2017,Yes,33,5-14,0.36,3-8,0.38,7-8,0.88,1,1,2,5,3,1,1,0,1,20,18,,,,,,,,,,
Scottie Lindsey,Sacred Heart,11/24/2017,Yes,32,7-15,0.47,3-8,0.38,2-2,1.00,0,6,6,5,0,4,1,0,0,19,18,,,,,,,,,,
Scottie Lindsey,Georgia Tech,11/28/2017,Yes,23,0-8,0.00,0-5,0.00,0-0,0.00,0,0,0,4,3,1,2,1,0,0,15,,,,,,,,,,
Scottie Lindsey,Illinois,12/1/2017,NULL,39,6-17,0.35,3-7,0.43,7-8,0.88,1,2,3,4,3,1,3,0,2,22,16,,,,,,,,,,
Scottie Lindsey,Purdue,12/3/2017,Yes,29,8-17,0.47,1-6,0.17,0-0,0.00,2,2,4,4,3,0,2,2,0,17,16,,,,,,,,,,
Scottie Lindsey,Chicago State,12/11/2017,Yes,23,4-8,0.50,3-7,0.43,1-2,0.50,2,1,3,4,1,3,0,2,0,12,16,,,,,,,,,,
Scottie Lindsey,Valparaiso,12/14/2017,Yes,29,5-10,0.50,2-5,0.40,1-2,0.50,0,1,1,4,0,3,0,0,1,13,16,,,,,,,,,,
Scottie Lindsey,DePaul,12/16/2017,Yes,31,9-19,0.47,7-13,0.54,0-0,0.00,1,7,8,4,4,1,1,1,1,25,16,,,,,,,,,,
Scottie Lindsey,Lewis,12/19/2017,Yes,19,3-7,0.43,1-4,0.25,2-2,1.00,1,2,3,4,3,1,1,0,1,9,16,,,,,,,,,,
Scottie Lindsey,Oklahoma,12/22/2017,Yes,26,1-12,0.08,0-8,0.00,0-1,0.00,0,3,3,4,4,3,2,0,0,2,15,,,,,,,,,,
Scottie Lindsey,Brown,12/30/2017,Yes,26,4-9,0.44,0-2,0.00,6-7,0.86,0,4,4,4,3,3,0,0,1,14,15,,,,,,,,,,
Scottie Lindsey,Nebraska,1/2/2018,Yes,35,4-14,0.29,2-6,0.33,2-2,1.00,0,2,2,4,3,4,3,1,0,12,15,,,,,,,,,,
Scottie Lindsey,Penn State,1/5/2018,Yes,34,3-17,0.18,3-11,0.27,0-0,0.00,0,4,4,4,1,1,4,1,1,9,14,,,,,,,,,,
Scottie Lindsey,Minnesota,1/10/2018,Yes,28,8-14,0.57,3-7,0.43,3-3,1.00,0,0,0,4,3,0,1,2,0,22,15,,,,,,,,,,
Scottie Lindsey,Indiana,1/14/2018,Yes,34,1-15,0.07,0-7,0.00,0-0,0.00,1,3,4,4,1,1,4,1,1,2,14,,,,,,,,,,
Scottie Lindsey,Ohio State,1/17/2018,Yes,38,6-13,0.46,1-5,0.20,0-0,0.00,0,3,3,4,3,3,2,1,0,13,14,,,,,,,,,,
Scottie Lindsey,Penn State,1/20/2018,Yes,30,6-16,0.38,1-6,0.17,0-0,0.00,3,2,5,4,4,2,1,0,1,13,14,,,,,,,,,,
Scottie Lindsey,Minnesota,1/23/2018,Yes,34,6-16,0.38,1-6,0.17,2-2,1.00,1,2,3,4,0,1,1,0,0,15,14,,,,,,,,,,
Scottie Lindsey,Michigan,1/29/2018,Yes,37,5-11,0.46,2-5,0.40,3-3,1.00,0,2,2,4,4,1,3,0,0,15,14,,,,,,,,,,
Scottie Lindsey,Wisconsin,2/1/2018,Yes,36,4-12,0.33,2-5,0.40,4-4,1.00,1,3,4,4,1,1,2,0,0,14,14,,,,,,,,,,
Scottie Lindsey,Michigan,2/6/2018,Yes,36,6-13,0.46,4-6,0.67,3-4,0.75,1,6,7,4,3,1,0,0,1,19,14,,,,,,,,,,
Scottie Lindsey,Maryland,2/10/2018,Yes,34,8-20,0.40,4-10,0.40,0-0,0.00,2,3,5,4,2,3,2,0,0,20,14,,,,,,,,,,
Scottie Lindsey,Rutgers,2/13/2018,Yes,38,7-20,0.35,3-8,0.38,2-3,0.67,0,4,4,4,2,3,4,0,0,19,15,,,,,,,,,,
Scottie Lindsey,Michigan State,2/17/2018,Yes,31,2-7,0.29,2-5,0.40,0-0,0.00,0,5,5,4,2,2,1,0,1,6,14,,,,,,,,,,
Scottie Lindsey,Maryland,2/19/2018,Yes,36,6-12,0.50,3-5,0.60,0-0,0.00,1,1,2,4,4,2,6,0,0,15,14,,,,,,,,,,
Scottie Lindsey,Wisconsin,2/22/2018,Yes,40,8-16,0.50,2-6,0.33,8-9,0.89,2,1,3,4,4,0,2,0,0,26,15,,,,,,,,,,
Scottie Lindsey,Iowa,2/25/2018,Yes,40,10-14,0.71,9-11,0.82,3-4,0.75,1,3,4,4,2,0,0,0,0,32,15,,,,,,,,,,
Scottie Lindsey,Penn State,3/1/2018,Yes,35,4-13,0.31,2-7,0.29,2-2,1.00,1,7,8,4,5,1,1,1,0,12,15,,,,,,,,,,
Scottie Lindsey,Total,NULL,NULL,1026,169-424,0.40,79-218,0.36,68-82,0.83,24,99,123,4,82,54,52,14,15,485,15,,,,,,,,,,
Jordan Ash,Loyola (Md.),11/10/2017,NULL,8,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,
Jordan Ash,Saint Peter's,11/13/2017,NULL,10,0-2,0.00,0-1,0.00,0-0,0.00,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
Jordan Ash,Creighton,11/15/2017,NULL,2,0-1,0.00,0-1,0.00,0-0,0.00,0,1,1,0,1,0,0,0,1,0,0,,,,,,,,,,
Jordan Ash,La Salle,11/18/2017,NULL,5,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,
Jordan Ash,Texas Tech,11/19/2017,NULL,8,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jordan Ash,Sacred Heart,11/24/2017,NULL,7,0-1,0.00,0-0,0.00,0-0,0.00,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,
Jordan Ash,Georgia Tech,11/28/2017,NULL,18,1-2,0.50,1-2,0.50,0-0,0.00,0,1,1,0,0,1,0,0,1,3,0,,,,,,,,,,
Jordan Ash,Illinois,12/1/2017,Yes,14,0-1,0.00,0-1,0.00,0-0,0.00,0,3,3,1,1,0,1,0,0,0,0,,,,,,,,,,
Jordan Ash,Purdue,12/3/2017,NULL,3,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,
Jordan Ash,Chicago State,12/11/2017,NULL,22,1-3,0.33,0-2,0.00,0-0,0.00,0,0,0,1,0,4,0,0,3,2,1,,,,,,,,,,
Jordan Ash,Valparaiso,12/14/2017,NULL,11,2-5,0.40,1-2,0.50,0-0,0.00,1,0,1,1,1,0,0,0,0,5,1,,,,,,,,,,
Jordan Ash,DePaul,12/16/2017,NULL,16,2-3,0.67,1-2,0.50,0-0,0.00,1,3,4,1,2,1,1,0,1,5,1,,,,,,,,,,
Jordan Ash,Lewis,12/19/2017,Yes,24,0-3,0.00,0-3,0.00,0-0,0.00,0,4,4,1,2,3,1,0,0,0,1,,,,,,,,,,
Jordan Ash,Oklahoma,12/22/2017,Yes,31,3-6,0.50,2-5,0.40,3-4,0.75,0,0,0,1,4,0,0,0,2,11,2,,,,,,,,,,
Jordan Ash,Brown,12/30/2017,NULL,20,2-6,0.33,1-3,0.33,0-0,0.00,0,4,4,1,3,2,2,0,1,5,2,,,,,,,,,,
Jordan Ash,Nebraska,1/2/2018,Yes,28,1-4,0.25,0-3,0.00,0-0,0.00,0,2,2,1,2,1,1,0,2,2,2,,,,,,,,,,
Jordan Ash,Penn State,1/5/2018,NULL,16,2-3,0.67,2-2,1.00,0-0,0.00,0,2,2,1,0,0,1,0,0,6,2,,,,,,,,,,
Jordan Ash,Minnesota,1/10/2018,NULL,13,1-2,0.50,1-1,1.00,0-0,0.00,0,0,0,1,2,0,1,0,0,3,2,,,,,,,,,,
Jordan Ash,Indiana,1/14/2018,NULL,14,0-1,0.00,0-1,0.00,0-0,0.00,0,2,2,1,1,1,2,0,0,0,2,,,,,,,,,,
Jordan Ash,Ohio State,1/17/2018,NULL,4,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,1,0,1,1,0,0,0,2,,,,,,,,,,
Jordan Ash,Penn State,1/20/2018,NULL,6,2-2,1.00,1-1,1.00,0-1,0.00,1,0,1,1,1,0,0,0,0,5,2,,,,,,,,,,
Jordan Ash,Minnesota,1/23/2018,NULL,8,1-3,0.33,1-2,0.50,0-0,0.00,0,0,0,1,1,0,0,0,0,3,2,,,,,,,,,,
Jordan Ash,Michigan,1/29/2018,NULL,12,0-1,0.00,0-1,0.00,0-0,0.00,0,1,1,1,3,0,1,0,0,0,2,,,,,,,,,,
Jordan Ash,Wisconsin,2/1/2018,NULL,8,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,1,0,0,1,0,1,0,2,,,,,,,,,,
Jordan Ash,Michigan,2/6/2018,NULL,9,1-2,0.50,0-0,0.00,0-0,0.00,0,1,1,1,0,1,0,0,0,2,2,,,,,,,,,,
Jordan Ash,Total,NULL,NULL,317,19-52,0.37,11-1,0.32,3-5,0.60,3,26,29,1,25,18,13,0,14,52,2,,,,,,,,,,
Barret Benson,Loyola (Md.),11/10/2017,NULL,10,0-2,0.00,0-1,0.00,0-0,0.00,0,5,5,5,4,1,1,2,0,0,0,,,,,,,,,,
Barret Benson,Saint Peter's,11/13/2017,NULL,3,1-2,0.50,0-0,0.00,0-0,0.00,0,1,1,3,0,0,2,1,0,2,1,,,,,,,,,,
Barret Benson,Creighton,11/15/2017,NULL,9,0-1,0.00,0-0,0.00,3-6,0.50,1,2,3,3,1,0,0,0,0,3,2,,,,,,,,,,
Barret Benson,La Salle,11/18/2017,NULL,14,1-1,1.00,0-0,0.00,0-0,0.00,0,3,3,3,4,0,0,3,0,2,2,,,,,,,,,,
Barret Benson,Texas Tech,11/19/2017,NULL,17,1-1,1.00,0-0,0.00,0-4,0.00,2,0,2,3,1,0,1,0,0,2,2,,,,,,,,,,
Barret Benson,Sacred Heart,11/24/2017,NULL,15,0-1,0.00,0-0,0.00,2-2,1.00,0,2,2,3,3,0,1,1,0,2,2,,,,,,,,,,
Barret Benson,Georgia Tech,11/28/2017,NULL,9,0-1,0.00,0-0,0.00,0-0,0.00,0,1,1,2,2,0,0,0,0,0,2,,,,,,,,,,
Barret Benson,Illinois,12/1/2017,NULL,2,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,2,1,0,0,0,0,0,1,,,,,,,,,,
Barret Benson,Purdue,12/3/2017,NULL,10,1-1,1.00,0-0,0.00,0-0,0.00,0,0,0,2,3,2,1,0,0,2,1,,,,,,,,,,
Barret Benson,Chicago State,12/11/2017,NULL,16,1-2,0.50,0-0,0.00,2-2,1.00,0,3,3,2,3,0,2,1,1,4,2,,,,,,,,,,
Barret Benson,Valparaiso,12/14/2017,NULL,11,1-3,0.33,0-0,0.00,1-2,0.50,1,1,2,2,5,0,1,0,1,3,2,,,,,,,,,,
Barret Benson,DePaul,12/16/2017,NULL,3,0-0,0.00,0-0,0.00,0-0,0.00,0,0,0,2,1,0,0,0,0,0,2,,,,,,,,,,
Barret Benson,Lewis,12/19/2017,NULL,14,0-0,0.00,0-0,0.00,4-5,0.80,3,2,5,2,5,0,1,2,1,4,2,,,,,,,,,,
Barret Benson,Oklahoma,12/22/2017,NULL,14,2-4,0.50,0-0,0.00,0-1,0.00,2,3,5,2,3,3,0,1,0,4,2,,,,,,,,,,
Barret Benson,Brown,12/30/2017,NULL,6,2-2,1.00,0-0,0.00,2-2,1.00,0,1,1,2,1,0,0,0,0,6,2,,,,,,,,,,
Barret Benson,Nebraska,1/2/2018,NULL,4,0-0,0.00,0-0,0.00,0-2,0.00,0,0,0,2,1,0,1,0,0,0,2,,,,,,,,,,
Barret Benson,Penn State,1/5/2018,NULL,12,1-1,1.00,0-0,0.00,0-0,0.00,1,1,2,2,2,0,1,0,0,2,2,,,,,,,,,,
Barret Benson,Minnesota,1/10/2018,NULL,8,0-1,0.00,0-0,0.00,0-2,0.00,1,1,2,2,0,0,1,0,0,0,2,,,,,,,,,,
Barret Benson,Indiana,1/14/2018,NULL,5,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,2,3,1,0,0,0,0,2,,,,,,,,,,
Barret Benson,Ohio State,1/17/2018,NULL,3,0-0,0.00,0-0,0.00,0-0,0.00,1,1,2,2,1,0,1,0,0,0,2,,,,,,,,,,
Barret Benson,Penn State,1/20/2018,NULL,6,1-2,0.50,0-0,0.00,0-0,0.00,2,0,2,2,2,0,0,0,1,2,2,,,,,,,,,,
Barret Benson,Minnesota,1/23/2018,NULL,11,1-2,0.50,0-0,0.00,0-0,0.00,0,1,1,2,4,0,1,1,2,2,2,,,,,,,,,,
Barret Benson,Michigan,1/29/2018,NULL,5,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,2,2,0,0,0,0,0,2,,,,,,,,,,
Barret Benson,Wisconsin,2/1/2018,NULL,2,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,2,0,0,0,0,0,0,2,,,,,,,,,,
Barret Benson,Michigan,2/6/2018,NULL,11,0-0,0.00,0-0,0.00,2-2,1.00,1,0,1,2,2,1,0,0,0,2,2,,,,,,,,,,
Barret Benson,Maryland,2/10/2018,NULL,7,0-0,0.00,0-0,0.00,0-0,0.00,0,1,1,2,0,0,0,0,0,0,2,,,,,,,,,,
Barret Benson,Rutgers,2/13/2018,NULL,4,0-1,0.00,0-0,0.00,0-0,0.00,0,2,2,2,0,1,0,0,0,0,2,,,,,,,,,,
